,REF,Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,num_ingr,B,S,C,L,V,Sa,S*,Lon,Lat
23,1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",0.7,"4- B,S,C,L","astringent, nutty, chocolatey",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
24,1319,A. Morin,France,2014,Peru,Pablino,0.7,"4- B,S,C,L","delicate, hazelnut, brownie",4.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
25,1676,A. Morin,France,2015,Togo,Kpime,0.7,"4- B,S,C,L","burnt wood, earthy, choco",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0199765,8.7800265
26,1676,A. Morin,France,2015,Togo,Atsane,0.7,"4- B,S,C,L","roasty, acidic, nutty",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0199765,8.7800265
27,1680,A. Morin,France,2015,Togo,Akata,0.7,"4- B,S,C,L","mild profile, chocolaty, spice",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0199765,8.7800265
28,1704,A. Morin,France,2015,Peru,Quilla,0.7,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
29,1876,A. Morin,France,2016,Sao Tome,Agua Grande,0.63,"4- B,S,C,L","sweet, chocolatey, vegetal",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.7313031,0.3389242
30,2206,A. Morin,France,2018,Venezuela,Porcelana,0.7,"4- B,S,C,L","alluring aroma, powdery,nutty",3.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
31,2206,A. Morin,France,2018,Peru,Absolu,0.63,"4- B,S,C,L","sweet, dairy, spice, cocoa",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
32,2648,A. Morin,France,2021,Mexico,La Joya,0.7,"4- B,S,C,L","light color, fruit, yogurt",4.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-102.0077097,23.6585116
33,2712,A. Morin,France,2022,Indonesia,"Java, Arjuna",0.7,"3- B,S,C","smoke dominates, hint of fruit",3.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,117.8902853,-2.4833826
34,2712,A. Morin,France,2022,Peru,Cusco,0.7,"3- B,S,C","green banana, roasty, cocoa",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
35,2716,A. Morin,France,2022,Bolivia,Ekeko,0.7,"4- B,S,C,L","woody, honey, leathery",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-64.9912286,-17.0568696
36,1462,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",0.7,"2- B,S",yellow fruit,3.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
37,1470,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",0.7,"2- B,S","intense, nutty, cherry, cocoa",3.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
38,2462,Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",0.74,"2- B,S","herbal, molasses, hammy",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-102.0077097,23.6585116
39,2470,Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",0.7,"2- B,S","hot cocoa, rich, molasses",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
40,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,0.6,"3- B,S,C","sweet, sublte strawberry",2.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0122737,-18.1239696
41,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",0.8,"3- B,S,C",spicy and candy-like,3.25,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0122737,-18.1239696
42,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,0.88,"3- B,S,C","orange, floral, lemon",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0122737,-18.1239696
43,705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",0.72,"3- B,S,C",cocoa and powerful tang,3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,179.0122737,-18.1239696
44,2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",0.7,"2- B,S","unrefined, sweet, metallic",2.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,168.1069154,-16.5255069
45,2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",0.7,"2- B,S","basic, sweet, cocoa, woody",2.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,168.1069154,-16.5255069
46,2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",0.7,"2- B,S","sandy, woody, spicy, sweet",3.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,168.1069154,-16.5255069
47,2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",0.7,"2- B,S","sweet, cocoa, rubbery",2.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,168.1069154,-16.5255069
48,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",0.55,"4- B,S,C,V","sandy, sweet, banana cream",2.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-79.3666965,-1.3397668
49,370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",0.7,"4- B,S,C,V","roasty, nutty, coffee",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-79.3666965,-1.3397668
50,316,Ah Cacao,Mexico,2009,Mexico,Tabasco,0.7,"3- B,S,C","gritty, spice, cocoa",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-102.0077097,23.6585116
51,502,Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",0.75,"4- B,S,C,L","strong pepper, musty",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,46.4416422,-18.9249604
52,508,Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",0.75,"4- B,S,C,L","fatty, intense, woody",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
53,636,Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",0.75,"4- B,S,C,L","hay, nut, berry",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,117.8902853,-2.4833826
54,1061,Alain Ducasse,France,2013,Venezuela,Chuao,0.75,"5- B,S,C,V,L","sandy, dirt, ashey",2.5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-66.1109318,8.0018709
55,1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",0.75,"5- B,S,C,V,L","cardboard, dirt, roasty",2.5,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-75.0458515,-6.8699697
56,1215,Alain Ducasse,France,2014,Trinidad,Trinite,0.65,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-61.26130538878063,10.443024300000001
57,1215,Alain Ducasse,France,2014,Vietnam,Vietnam,0.75,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75,5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,108.4265113,13.2904027
58,1215,Alain Ducasse,France,2014,Madagascar,Madagascar,0.75,"5-B,S,C,V,Sa","citrus, fatty, dairy",3.0,5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,46.4416422,-18.9249604
59,1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",0.75,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-102.0077097,23.6585116
60,1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",0.7,"3- B,S,C","sandy, green, floral",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
61,1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",0.7,"3- B,S,C","sandy, sweet, nibby",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-85.2936911,12.6090157
62,1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",0.7,"3- B,S,C","sandy, melon, banana",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,35.7878438,-6.5247123
63,1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,0.7,"3- B,S,C","sandy, sweet, roasty",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,108.4265113,13.2904027
64,1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,0.6,"4- B,S,C,L","sweet, moldy, off",2.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-66.1109318,8.0018709
65,1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",0.6,"4- B,S,C,L","sandy, sweet, dairy, spice",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-70.3028026,19.0974031
66,1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",0.8,"4- B,S,C,L","gritty, berry, mild bitter",3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-64.9912286,-17.0568696
67,1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",0.6,"4- B,S,C,L","grit, sweet, caramel, fruit",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-64.9912286,-17.0568696
68,1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",0.6,"4- B,S,C,L","gritty, too sweet, fruit",3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-75.0458515,-6.8699697
69,1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,0.6,"3- B,S,C","powdery, sweet, molasses",2.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-85.2936911,12.6090157
70,1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,0.6,"3- B,S,C","dry, sweet, caramel",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
71,1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,0.6,"3- B,S,C","sandy, sweet, pungent",2.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-64.9912286,-17.0568696
72,1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,0.6,"3- B,S,C","sandy, sweet, sour, off",2.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
73,1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,0.6,"3- B,S,C","sandy, nutty, earthy, roasty",2.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
74,2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,0.7,"3- B,S,C","sweet, coarse, nutty",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-70.3028026,19.0974031
75,129,Amano,U.S.A.,2007,Madagascar,Madagascar,0.7,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,46.4416422,-18.9249604
76,147,Amano,U.S.A.,2007,Venezuela,Cuyagua,0.7,"4- B,S,C,V","waxy, nutty, mint",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
77,175,Amano,U.S.A.,2007,Venezuela,Ocumare,0.7,"4- B,S,C,V","spicy, strawberry",3.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
78,304,Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",0.7,"4- B,S,C,V","sticky, nutty, high acidity",2.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,117.8902853,-2.4833826
79,363,Amano,U.S.A.,2009,Venezuela,Montanya,0.7,"4- B,S,C,V","hot spice, roasty",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
80,470,Amano,U.S.A.,2010,Dominican Republic,Dos Rios,0.7,"4- B,S,C,V","orange, cinamon",3.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-70.3028026,19.0974031
81,470,Amano,U.S.A.,2010,Ecuador,Guayas,0.7,"4- B,S,C,V","strong spice, intense pepper",4.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-79.3666965,-1.3397668
82,544,Amano,U.S.A.,2010,Venezuela,Chuao,0.7,"4- B,S,C,V","woody, red berry, sour",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
83,725,Amano,U.S.A.,2011,Papua New Guinea,Morobe,0.7,"4- B,S,C,V","tart, lemon, smoke",4.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,144.2489081,-5.6816069
84,322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,0.7,"2- B,S","dry, chalky, fudge-like",3.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0800271,8.0300284
85,327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,0.7,"2- B,S","waxy mouthfeel, spicy",2.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
86,464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,0.85,"2- B,S","fatty, mushroom, off notes",2.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
87,464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,0.85,"2- B,S","roasty,oddly sweet,marshmallow",3.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0800271,8.0300284
88,1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",0.72,"3- B,S,C","oily, vanilla, melon, cocoa",3.25,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
89,1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",0.73,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
90,1494,Ambrosia,Canada,2015,Belize,Belize,0.64,"4- B,S,C,L","roasty, brownie, nutty",3.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-88.7600927,16.8259793
91,1494,Ambrosia,Canada,2015,Madagascar,Madagascar,0.66,"2- B,S","fruity, sour",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.4416422,-18.9249604
92,1498,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,0.75,"2- B,S","high roast, high astringnet",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-70.3028026,19.0974031
93,1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,0.63,"2- B,S","smokey, savory",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,144.2489081,-5.6816069
94,1498,Ambrosia,Canada,2015,Venezuela,Venezuela,0.7,"2- B,S","sandy, roasty, nutty",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-66.1109318,8.0018709
95,1498,Ambrosia,Canada,2015,Peru,Peru,0.68,"2- B,S","rich, sour, mild smoke",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
96,75,Amedei,Italy,2006,Blend,Toscano Black,0.66,"4- B,S,C,V","red wine, rich cocoa, long",3.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.1002445,51.5840921
97,123,Amedei,Italy,2007,Ecuador,Ecuador,0.7,"4- B,S,C,V","creamy, earthy, vegetal",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-79.3666965,-1.3397668
98,123,Amedei,Italy,2007,Jamaica,Jamaica,0.7,"4- B,S,C,V","sandy, woody, spicy",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-77.3947693,18.1850507
99,123,Amedei,Italy,2007,Grenada,Grenada,0.7,"4- B,S,C,V",fruity with coffee notes,3.5,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-61.6904045,12.1360374
100,123,Amedei,Italy,2007,Venezuela,Venezuela,0.7,"4- B,S,C,V","creamy, fruit, cocoa",3.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
101,129,Amedei,Italy,2007,Trinidad,Trinidad,0.7,"4- B,S,C,V","coffee, fruit, woodsy",3.5,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-61.26130538878063,10.443024300000001
102,170,Amedei,Italy,2007,Blend,Toscano Black,0.63,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.1002445,51.5840921
103,979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",0.7,"4- B,S,C,V","creamy, raspberry, nutty",3.75,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-75.0458515,-6.8699697
104,2088,Amedei,Italy,2018,Madagascar,Madagascar,0.7,"4- B,S,C,V","vanilla, mint, roasty",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,46.4416422,-18.9249604
105,2088,Amedei,Italy,2018,Venezuela,Chuao,0.7,"4- B,S,C,V","vanilla, nuts, roasty",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
106,2092,Amedei,Italy,2018,Venezuela,Porcelana,0.7,"4- B,S,C,V","nutty, mild roasty, vanilla",3.0,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-66.1109318,8.0018709
107,2092,Amedei,Italy,2018,Blend,Nine,0.75,"4- B,S,C,V","sweet, delicate, complex",3.5,4,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.1002445,51.5840921
108,2434,Amedei,Italy,2019,Blend,Toscano Black,0.7,"3- B,S,C","nut, fatty, rubbery, rich",2.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.1002445,51.5840921
109,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.85,"4- B,S,C,L","creamy, red berry, bitter",2.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
110,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.5,"4- B,S,C,L","very sweet, bright red, banana",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
111,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.75,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
112,572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",0.6,"4- B,S,C,L","creamy, sweet,cocoa,banana",4.0,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
113,1065,AMMA,Brazil,2013,Brazil,Catongo,0.75,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-53.2,-10.3333333
114,1259,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,0.75,"2- B,S","chalky, mild fruit, burnt",3.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-70.3028026,19.0974031
115,1852,Animas,U.S.A.,2016,Bolivia,Alto Beni,0.75,"2- B,S","light roast, caramel, cocoa",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-64.9912286,-17.0568696
116,2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",0.75,"2- B,S","burnt toast, cherry",3.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-88.7600927,16.8259793
117,2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",0.75,"2- B,S","orange citrus, harsh earthiness",3.25,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-90.345759,15.5855545
118,1375,Ara,France,2014,Madagascar,Madagascar,0.75,"3- B,S,C","sandy, fruity, short",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,46.4416422,-18.9249604
119,1379,Ara,France,2014,Mexico,Chiapas,0.72,"3- B,S,C","earthy, sour milk, leather",2.5,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-102.0077097,23.6585116
120,1379,Ara,France,2014,Ecuador,Equateur,0.75,"3- B,S,C","bitter, floral, leather",2.75,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
121,1379,Ara,France,2014,Venezuela,Trincheras,0.75,"3- B,S,C","nutty, mild spice, mild earthy",3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-66.1109318,8.0018709
122,1534,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,0.7,"2- B,S","creamy, rich, rum, roasty",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-53.2,-10.3333333
123,1534,Arete,U.S.A.,2015,Peru,Nacional,0.68,"2- B,S","floral, nutty, rich cocoa",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-75.0458515,-6.8699697
124,1534,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",0.7,"2- B,S","spicy, cocoa",3.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-79.3666965,-1.3397668
125,1598,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,0.7,"2- B,S","spicy, brownie, nutty",3.5,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-70.3028026,19.0974031
126,1598,Arete,U.S.A.,2015,Belize,Maya Mountain,0.7,"2- B,S","floral, strawberry, metallic",3.75,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-88.7600927,16.8259793
